country_code,medal_count_ratio,gdp_ratio
ARG,0.2549019607843137,0.34906378573337515
ARM,0.3333333333333333,0.1369373467697573
AUS,0.1610738255033557,0.09947000330989018
AUT,0.3333333333333333,0.09983859262659785
AZE,0.14285714285714285,0.0650273926857292
BEL,1.8,0.1378537783943043
BLR,0.7666666666666667,0.24285740010966705
BRA,0.04,0.09003173316972109
CAN,0.5882352941176471,0.13334930133861742
CHI,4.5,0.7528608767206195
CHN,0.41304347826086957,0.056532157495990464
CMR,1,0.29541550388529736
COL,0.5,0.15678637056828704
CUB,0.5106382978723404,0.22677880256746258
CZE,1.8571428571428572,0.2841768496910706
DOM,0.5,0.2139287766307952
ECU,1,0.40844101286478957
EGY,1,0.1882030169841535
ESP,0.08450704225352113,0.07228391171365443
EST,1,0.23500725731124408
ETH,0.42857142857142855,0.3876686350978399
FIN,1.2,0.11233133034455574
FRA,0.2631578947368421,0.12772863272005056
GBR,0.4155844155844156,0.0804737511561766
GEO,0.3333333333333333,0.24188391939525447
HKG,0.5,0.9445147955201586
HUN,1.6666666666666667,0.24509703704808153
IND,5.333333333333333,0.15488389362266006
IRL,1,0.0791720590454129
ISL,0.07142857142857142,0.16370544307682652
ISR,2,0.35014723295250066
ITA,0.7380952380952381,0.0936852381048254
JAM,0.11764705882352941,0.2168356980082493
JPN,0.803921568627451,0.11575100272782006
KAZ,0.8461538461538461,0.1576371678865612
KEN,0.21428571428571427,0.17248671467941515
KGZ,0.5,0.26647945931696
KOR,0.21794871794871795,0.029713403227367798
LTU,2.4,0.1752353696868283
MAR,1,0.16025476144957604
MDA,3,0.2799644494453197
MEX,0.5,0.08083711430626753
MOZ,1,0.7024547000633643
NAM,1,0.8740250978995883
NOR,0.2727272727272727,0.07770387256356745
NZL,1.9285714285714286,0.10207731948946346
PAK,1,0.27425591604565225
PER,1,0.48699605246310596
POL,2.1,0.17672210630240887
QAT,1,0.43052935216409377
ROU,2.3181818181818183,0.1960284604222204
RUS,0.8041958041958042,0.23585592470441216
SUR,1,2.8692535837864557
SVK,0.3,0.2773188855733523
SWE,1.4285714285714286,0.1714163340208792
SYR,1,0.6976972670123702
THA,0.25,0.058291686237302916
TUN,1,0.4366654798049992
TUR,0.375,0.07848634154829394
UGA,1,0.20590494346292584
UKR,1.096774193548387,0.2475553211319639
USA,0.49206349206349204,0.12756575327704803
UZB,0.3333333333333333,0.4720526934675635
VEN,1,0.11453279050555593
